DateHeure,Date,Heure,ConsommationGazGRTgaz,ConsommationGazTerega,ConsommationGazTotale,ConsommationElectricite,ConsommationTotale
2024-04-30T21:00:00+00:00,30/04/2024,23:00,22574.0,1562.0,24136.0,46363,70499.0
2024-04-30T20:00:00+00:00,30/04/2024,22:00,24265.0,1758.0,26023.0,46046,72069.0
2024-04-30T19:00:00+00:00,30/04/2024,21:00,26171.0,1966.0,28137.0,46335,74472.0
2024-04-30T18:00:00+00:00,30/04/2024,20:00,26980.0,2064.0,29044.0,47090,76134.0
2024-04-30T17:00:00+00:00,30/04/2024,19:00,26876.0,2010.0,28886.0,48479,77365.0
2024-04-30T16:00:00+00:00,30/04/2024,18:00,26223.0,1910.0,28133.0,47216,75349.0
2024-04-30T15:00:00+00:00,30/04/2024,17:00,24904.0,1834.0,26738.0,46326,73064.0
2024-04-30T14:00:00+00:00,30/04/2024,16:00,24643.0,1809.0,26452.0,47161,73613.0
2024-04-30T13:00:00+00:00,30/04/2024,15:00,24967.0,1911.0,26878.0,48664,75542.0
2024-04-30T12:00:00+00:00,30/04/2024,14:00,26193.0,2069.0,28262.0,50468,78730.0
2024-04-30T11:00:00+00:00,30/04/2024,13:00,28021.0,2290.0,30311.0,52122,82433.0
2024-04-30T10:00:00+00:00,30/04/2024,12:00,29839.0,2490.0,32329.0,53261,85590.0
2024-04-30T09:00:00+00:00,30/04/2024,11:00,32087.0,2629.0,34716.0,52860,87576.0
2024-04-30T08:00:00+00:00,30/04/2024,10:00,34300.0,2772.0,37072.0,52674,89746.0
2024-04-30T07:00:00+00:00,30/04/2024,09:00,36498.0,3016.0,39514.0,52963,92477.0
2024-04-30T06:00:00+00:00,30/04/2024,08:00,39321.0,3456.0,42777.0,52572,95349.0
2024-04-30T05:00:00+00:00,30/04/2024,07:00,42519.0,3941.0,46460.0,50281,96741.0
2024-04-30T04:00:00+00:00,30/04/2024,06:00,40519.0,3536.0,44055.0,45371,89426.0
2024-04-30T03:00:00+00:00,30/04/2024,05:00,23771.0,2467.0,26238.0,41754,67992.0
2024-04-30T02:00:00+00:00,30/04/2024,04:00,21515.0,2085.0,23600.0,39805,63405.0
2024-04-30T01:00:00+00:00,30/04/2024,03:00,20750.0,1921.0,22671.0,40425,63096.0
2024-04-30T00:00:00+00:00,30/04/2024,02:00,20668.0,1857.0,22525.0,42659,65184.0
2024-04-29T23:00:00+00:00,30/04/2024,01:00,20782.0,1858.0,22640.0,43681,66321.0
2024-04-29T22:00:00+00:00,30/04/2024,00:00,21278.0,1849.0,23127.0,46582,69709.0
2024-04-29T21:00:00+00:00,29/04/2024,23:00,26213.0,1977.0,28190.0,48336,76526.0
