Date,ConsommationGazTotale,ConsommationElectricite,ConsommationTotale,month,day_of_week,is_weekend
2012-01-01,1446815.0,1237536,2684351.0,1,6,1
2012-01-02,1791945.0,1453549,3245494.0,1,0,0
2012-01-03,2005753.0,1625894,3631647.0,1,1,0
2012-01-04,1997598.0,1632020,3629618.0,1,2,0
2012-01-05,2038430.0,1660291,3698721.0,1,3,0
2012-01-06,2110627.0,1657429,3768056.0,1,4,0
2012-01-07,1914766.0,1516656,3431422.0,1,5,1
2012-01-08,1808600.0,1417014,3225614.0,1,6,1
2012-01-09,2109822.0,1612766,3722588.0,1,0,0
2012-01-10,2101160.0,1645559,3746719.0,1,1,0
2012-01-11,2131675.0,1657171,3788846.0,1,2,0
2012-01-12,2254425.0,1714842,3969267.0,1,3,0
2012-01-13,2295264.0,1706621,4001885.0,1,4,0
2012-01-14,2270743.0,1626951,3897694.0,1,5,1
2012-01-15,2325048.0,1632583,3957631.0,1,6,1
2012-01-16,2702719.0,1833633,4536352.0,1,0,0
2012-01-17,2814341.0,1888233,4702574.0,1,1,0
2012-01-18,2696501.0,1885707,4582208.0,1,2,0
2012-01-19,2265616.0,1754807,4020423.0,1,3,0
2012-01-20,2133057.0,1673721,3806778.0,1,4,0
2012-01-21,1784013.0,1480673,3264686.0,1,5,1
2012-01-22,1728166.0,1383139,3111305.0,1,6,1
2012-01-23,2043900.0,1590381,3634281.0,1,0,0
2012-01-24,2169218.0,1654867,3824085.0,1,1,0
2012-01-25,2099352.0,1636822,3736174.0,1,2,0
2012-01-26,2079116.0,1643285,3722401.0,1,3,0
2012-01-27,2224361.0,1660470,3884831.0,1,4,0
2012-01-28,2149753.0,1564500,3714253.0,1,5,1
2012-01-29,2243547.0,1575080,3818627.0,1,6,1
2012-01-30,2731344.0,1848649,4579993.0,1,0,0
2012-01-31,2892180.0,1875310,4767490.0,1,1,0
2012-02-01,3131931.0,1884017,5015948.0,2,2,0
2012-02-02,3417055.0,1655253,5072308.0,2,3,0
2012-02-03,3520229.0,1605740,5125969.0,2,4,0
2012-02-04,3257606.0,1852281,5109887.0,2,5,1
2012-02-05,3247619.0,1917281,5164900.0,2,6,1
2012-02-06,3379669.0,1664649,5044318.0,2,0,0
2012-02-07,3588525.0,1507923,5096448.0,2,1,0
2012-02-08,3672228.0,1419666,5091894.0,2,2,0
2012-02-09,3570014.0,1497094,5067108.0,2,3,0
2012-02-10,3508878.0,1621624,5130502.0,2,4,0
2012-02-11,3419969.0,1709830,5129799.0,2,5,1
2012-02-12,3326214.0,1930306,5256520.0,2,6,1
2012-02-13,3197811.0,1724973,4922784.0,2,0,0
2012-02-14,2894609.0,1980149,4874758.0,2,1,0
2012-02-15,2680336.0,1900363,4580699.0,2,2,0
2012-02-16,2512468.0,1814833,4327301.0,2,3,0
2012-02-17,2382482.0,1768303,4150785.0,2,4,0
2012-02-18,2166283.0,1581791,3748074.0,2,5,1
2012-02-19,2186698.0,1524005,3710703.0,2,6,1
2012-02-20,2626569.0,1754698,4381267.0,2,0,0
2012-02-21,2676104.0,1805899,4482003.0,2,1,0
2012-02-22,2569788.0,1777746,4347534.0,2,2,0
2012-02-23,2321765.0,1717242,4039007.0,2,3,0
2012-02-24,2062541.0,1605426,3667967.0,2,4,0
2012-02-25,1803688.0,1429949,3233637.0,2,5,1
2012-02-26,1743133.0,1349238,3092371.0,2,6,1
2012-02-27,2120674.0,1579104,3699778.0,2,0,0
2012-02-28,2053005.0,1589112,3642117.0,2,1,0
2012-02-29,1896559.0,1529485,3426044.0,2,2,0
2012-03-01,1820934.0,1506559,3327493.0,3,3,0
2012-03-02,1765541.0,1479352,3244893.0,3,4,0
2012-03-03,1582636.0,1347815,2930451.0,3,5,1
2012-03-04,1596244.0,1308040,2904284.0,3,6,1
2012-03-05,2198251.0,1591323,3789574.0,3,0,0
2012-03-06,2277015.0,1655679,3932694.0,3,1,0
2012-03-07,2322896.0,1675883,3998779.0,3,2,0
2012-03-08,2184717.0,1622767,3807484.0,3,3,0
2012-03-09,2117764.0,1605486,3723250.0,3,4,0
2012-03-10,1700629.0,1417130,3117759.0,3,5,1
2012-03-11,1560598.0,1306255,2866853.0,3,6,1
2012-03-12,1706769.0,1448159,3154928.0,3,0,0
2012-03-13,1662757.0,1442842,3105599.0,3,1,0
2012-03-14,1654879.0,1416826,3071705.0,3,2,0
2012-03-15,1545718.0,1399067,2944785.0,3,3,0
2012-03-16,1400580.0,1360320,2760900.0,3,4,0
2012-03-17,1360799.0,1256945,2617744.0,3,5,1
2012-03-18,1506731.0,1253819,2760550.0,3,6,1
2012-03-19,1864051.0,1474833,3338884.0,3,0,0
2012-03-20,1895565.0,1522034,3417599.0,3,1,0
2012-03-21,1729760.0,1490091,3219851.0,3,2,0
2012-03-22,1463248.0,1414112,2877360.0,3,3,0
2012-03-23,1351522.0,1343606,2695128.0,3,4,0
2012-03-24,1115105.0,1167378,2282483.0,3,5,1
2012-03-25,1094204.0,1078517,2172721.0,3,6,1
2012-03-26,1160356.0,1239092,2399448.0,3,0,0
2012-03-27,1218763.0,1261644,2480407.0,3,1,0
2012-03-28,1172504.0,1253474,2425978.0,3,2,0
2012-03-29,1152381.0,1246242,2398623.0,3,3,0
2012-03-30,1144803.0,1232263,2377066.0,3,4,0
2012-03-31,1186490.0,1129325,2315815.0,3,5,1
2012-04-01,1151109.0,1093124,2244233.0,4,6,1
2012-04-02,1272142.0,1293380,2565522.0,4,0,0
2012-04-03,1250135.0,1329249,2579384.0,4,1,0
2012-04-04,1343747.0,1370711,2714458.0,4,2,0
2012-04-05,1406530.0,1388077,2794607.0,4,3,0
2012-04-06,1294112.0,1350374,2644486.0,4,4,0
2012-04-07,1225333.0,1237990,2463323.0,4,5,1
2012-04-08,1221147.0,1177074,2398221.0,4,6,1
2012-04-09,1234810.0,1192254,2427064.0,4,0,0
2012-04-10,1422687.0,1390605,2813292.0,4,1,0
2012-04-11,1507402.0,1424970,2932372.0,4,2,0
2012-04-12,1518955.0,1413040,2931995.0,4,3,0
2012-04-13,1510076.0,1392314,2902390.0,4,4,0
2012-04-14,1265545.0,1262826,2528371.0,4,5,1
2012-04-15,1359656.0,1243795,2603451.0,4,6,1
2012-04-16,1777088.0,1478835,3255923.0,4,0,0
2012-04-17,1802185.0,1520872,3323057.0,4,1,0
2012-04-18,1649845.0,1489357,3139202.0,4,2,0
2012-04-19,1573587.0,1460124,3033711.0,4,3,0
2012-04-20,1521438.0,1429834,2951272.0,4,4,0
2012-04-21,1292382.0,1274905,2567287.0,4,5,1
