NomFestival,Envergure,Region,Departement,Commune,CodePostal,Discipline,PeriodeFestival,GeocodageXY
Les Nuits (Re)Belles,,Bourgogne-Franche-Comté,Jura,Brainans,39800,Musique,Saison (21 juin - 5 septembre),"46.8746666632, 5.6278782462"
Y'a pas l'feu,Régionale,Hauts-de-France,Pas-de-Calais,Cambrin,62149,Musique,Avant-saison (1er janvier - 20 juin),"50.5116047377, 2.73659179875"
Festival du jeune art russe,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Cannes,6414,Musique,Saison (21 juin - 5 septembre),"43.587465146, 7.10635418256"
Festival de musique de Cordes-sur-Ciel,,Occitanie,Tarn,Cordes-sur-Ciel,81170,Musique,Saison (21 juin - 5 septembre),"44.0681683828, 1.95360871103"
Les rencontres de la cinémathèque montagne,,Provence-Alpes-Côte d'Azur,Hautes-Alpes,Gap,5000,"Cinéma, audiovisuel",Après-saison (6 septembre - 31 décembre),"44.5798600596, 6.06486052138"
Jazz À La Sout,,Nouvelle-Aquitaine,Creuse,Guéret,23000,Musique,Après-saison (6 septembre - 31 décembre),"46.1632121428, 1.87078672735"
Le Chat Musiques,,Bourgogne-Franche-Comté,Nièvre,La Charité-sur-Loire,58400,Musique,Saison (21 juin - 5 septembre),"47.1835862006, 3.02885515594"
Bouge ton Cube,,Bretagne,Morbihan,Lauzach,56190,Musique,Avant-saison (1er janvier - 20 juin),"47.6111902718, -2.55589461102"
Woodstower,,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69000,Musique,Saison (21 juin - 5 septembre),"45.759723, 4.842223"
Festival du livre de Marseille,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13008,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"43.296346, 5.369889"
Le Festival de Paris,,Île-de-France,Paris,Paris,75000,Musique,Avant-saison (1er janvier - 20 juin),"48.8626304852, 2.33629344655"
Némo - Biennale Internationale des Arts Numériques,,Île-de-France,Paris,Paris,75019,"Arts visuels, arts numériques",Après-saison (6 septembre - 31 décembre),"48.886868623, 2.38469432787"
Transat en ville,,Bretagne,Ille-et-Vilaine,Rennes,35000,Musique,Saison (21 juin - 5 septembre),"48.1119791219, -1.68186449144"
Festival de Musique Ancienne de Ribeauvillé,,Grand Est,Haut-Rhin,Ribeauvillé,68150,Musique,Après-saison (6 septembre - 31 décembre),"48.2065139236, 7.28672468283"
Summer Vibration Festival,,Grand Est,Bas-Rhin,Sélestat,67600,Musique,Après-saison (6 septembre - 31 décembre),"48.2481136279, 7.46224896454"
Jazz In Trivy,,Bourgogne-Franche-Comté,Saône-et-Loire,Trivy,71520,Musique,Avant-saison (1er janvier - 20 juin),"46.3907231408, 4.48743569605"
Festival du premier film d'Annonay,Régionale,Auvergne-Rhône-Alpes,Ardèche,Annonay,7100,"Cinéma, audiovisuel",Avant-saison (1er janvier - 20 juin),"45.2460902392, 4.65026947295"
Work in progress,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Arles,13200,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"43.5468692378, 4.66215642574"
Les feuilles d'automne,,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Colmars,4370,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"44.1724272821, 6.6615406144"
Voyages imaginaires,,Hauts-de-France,Aisne,Homblières,2720,Spectacle vivant,Saison (21 juin - 5 septembre),"49.8577543083, 3.37495127984"
Festival russe,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13003,Pluridisciplinaire,Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889"
Hip Opsession,Intercommunale,Pays de la Loire,Loire-Atlantique,Nantes,44000,Musique,Avant-saison (1er janvier - 20 juin),"47.2316356767, -1.54831008605"
Midi-minuit poésie,Nationale,Pays de la Loire,Loire-Atlantique,Nantes,44000,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"47.2316356767, -1.54831008605"
Rise And Fall Festival,,Nouvelle-Aquitaine,Deux-Sèvres,Niort,79000,Musique,Après-saison (6 septembre - 31 décembre),"46.328260242, -0.465353019369"
Foire internationale d'art contemporain - FIAC,,Île-de-France,Paris,Paris,75007,"Arts visuels, arts numériques",Après-saison (6 septembre - 31 décembre),"48.8560825982, 2.31243868773"
Ourcq Living Colors,,Île-de-France,Paris,Paris,75019,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),"48.886868623, 2.38469432787"
Rootstock festival à Pommard,Transfrontalière,Bourgogne-Franche-Comté,Côte-d'Or,Pommard,21200,Musique,Saison (21 juin - 5 septembre),"47.0136884402, 4.79517699243"
Psymind origins,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Rognes,13840,Musique,Saison (21 juin - 5 septembre),"43.6648781836, 5.35218247017"
Les Festives de music'halle,,Occitanie,Haute-Garonne,Toulouse,31000,Musique,Saison (21 juin - 5 septembre),"43.5963814303, 1.43167293364"
Rock in the Barn,Régionale,Normandie,Eure,Vexin-sur-Epte,27630,Musique,Après-saison (6 septembre - 31 décembre),"49.1515466021, 1.59773112902"
Festival de bande dessinée d'humour,Intercommunale,Auvergne-Rhône-Alpes,Ardèche,Burzet,7450,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"44.748232889, 4.23385605882"
Contes Givrés,Régionale,Bourgogne-Franche-Comté,Saône-et-Loire,Chevagny-sur-Guye,71220,"Livre, littérature",Après-saison (6 septembre - 31 décembre),"46.5403336038, 4.50069717167"
Hippocampus,,Auvergne-Rhône-Alpes,Puy-de-Dôme,Clermont-Ferrand,63000,Musique,Avant-saison (1er janvier - 20 juin),"45.7856492991, 3.11554542903"
Hello Birds,Régionale,Normandie,Seine-Maritime,Etretat,76790,Musique,Saison (21 juin - 5 septembre),"49.704733151, 0.205304793744"
Musique en Bourbonnais,,Auvergne-Rhône-Alpes,Allier,Herisson,3190,Musique,Saison (21 juin - 5 septembre),"46.5199077449, 2.71052889853"
La vallée des livres,,Provence-Alpes-Côte d'Azur,Hautes-Alpes,L'Argentière-La Bessée,5120,"Livre, littérature",Saison (21 juin - 5 septembre),"44.7821732712, 6.47214497323"
Sancy Snow jazz,Intercommunale,Auvergne-Rhône-Alpes,Puy-de-Dôme,Le Mont-Dore,63240,Musique,Avant-saison (1er janvier - 20 juin),"45.5760999131, 2.80995918175"
Camping,Internationale,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,69002,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"45.8005219603, 4.46362962057"
Question de danse,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille,13003,Spectacle vivant,Avant-saison (1er janvier - 20 juin),"43.296346, 5.369889"
Blues roots festival,,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Meyreuil,13590,Musique,Après-saison (6 septembre - 31 décembre),"43.4910522546, 5.50062811927"
C'est pas classique,,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,Nice,6300,Musique,Après-saison (6 septembre - 31 décembre),"43.7119992661, 7.23826889465"
Arrée Voce,,Bretagne,Finistère,Plounéour-Menez,29410,Musique,Saison (21 juin - 5 septembre),"48.4451584128, -3.88112677396"
Conc'Air,,Grand Est,Haut-Rhin,Saint-Louis,68300,Musique,Saison (21 juin - 5 septembre),"47.6016553367, 7.54061872745"
Tempos du Monde,,Nouvelle-Aquitaine,Landes,Saint-Paul-lès-Dax,40990,Musique,Saison (21 juin - 5 septembre),"43.7464083139, -1.08127980711"
